date,iteration,method,load data type,LOLP,LOLE,time taken
2026-02-03 21:15:24,1000000,NSMCS,A,2.9e-05,0.25404,5.59672
2026-02-03 21:16:04,1000000,NSMCS,A,2.8e-05,0.24528,5.546854
2026-02-03 21:16:14,1000000,NSMCS,B,0.000113,0.98988,5.744988
2026-02-03 21:21:11,1000000,NSMCS,A,2.8e-05,0.24528,5.693547
2026-02-03 21:21:22,1000000,NSMCS,B,0.000115,1.0074,5.774343
2026-02-03 21:22:26,10000000,NSMCS,B,9.78e-05,0.856728,54.968027
2026-02-03 21:27:56,1000000,NSMCS,B,0.000122000000,1.068720000000,5.333574,
2026-02-03 21:52:26,1000000,NSMCS,A,0.00002900,0.25404000,9.186293,,
2026-02-03 21:53:42,10000000,NSMCS,A,0.00002810,0.24615600,62.966225
2026-02-03 21:54:55,10000000,NSMCS,A,0.00002730,0.23914800,58.762428
2026-02-03 21:56:49,10000000,NSMCS,B,0.00010050,0.88038000,58.252601
2026-02-03 21:58:25,10000000,NSMCS,B,0.00009960,0.87249600,58.924352
2026-02-03 22:10:03,100000000,NSMCS,B,0.00010554,0.92453040,0:11:31
2026-02-03 22:15:12,10000000,NSMCS,A,0.00002560,0.22425600,0:01:29
2026-02-03 22:28:07,100000000,NSMCS,B,0.00010597,0.92829720,0:12:39
2026-02-03 22:39:55,100000000,NSMCS,B,0.00010506,0.92032560,0:10:31
2026-02-04 19:59:47,1000000,NSMCS,A,0.00002200,0.19272000,0:00:05
