Total_Iterations,Loss_of_Load_Events,LOLP_Result
10000000,125469,0.0125469
10000000,125839,0.0125839
10000000,125472,0.0125472
10000000,125970,0.012597
10000000,125088,0.0125088
10000000,124957,0.0124957
10000000,125757,0.0125757
100000,1227,0.01227
100000,1294,0.01294
100000,1229,0.01229
100000,1274,0.01274
100000,1250,0.0125
100000,1263,0.01263
100000,1222,0.01222
100000,1254,0.01254
100000,1301,0.01301
100000,1266,0.01266
100000,1220,0.0122
100000,1257,0.01257
10,0,0.0
10,1,0.1
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,1,0.1
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,1,0.1
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
10,0,0.0
