unit capacity,All Numbers,All Numbers
30.0,3.76,3.76
30.0,3.76,3.76
25.0,3.76,3.76
25.0,3.76,3.76
9.0,3.76,3.76
9.0,3.76,3.76
9.0,3.76,3.76
12.0,3.76,3.76
12.0,3.76,3.76
50.0,3.76,3.76
50.0,3.76,3.76
45.0,12.0,12.0
45.0,12.0,12.0
17.5,4.0,4.0
17.5,4.0,4.0
75.0,4.81,4.81
75.0,4.81,4.81
70.0,4.81,4.81
70.0,4.81,4.81
70.0,4.81,4.81
67.0,4.81,4.81
67.0,4.81,4.81
67.0,4.81,4.81
60.0,4.81,4.81
60.0,4.81,4.81
19.3,4.81,4.81
19.3,4.81,4.81
40.0,4.81,4.81
25.0,4.81,4.81
25.0,4.81,4.81
25.0,4.81,4.81
1.61,4.81,4.81
1.61,4.81,4.81
60.0,4.81,4.81
60.0,4.81,4.81
61.0,4.81,4.81
61.0,4.81,4.81
37.5,4.81,4.81
37.5,4.81,4.81
2.0,4.81,4.81
2.0,4.81,4.81
2.0,4.81,4.81
2.475,4.81,4.81
2.475,4.81,4.81
3.15,17.51,17.51
3.15,17.51,17.51
300.0,17.51,17.51
300.0,0.0,0.0
300.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,76.71,76.71
20.0,97.97,97.97
115.0,52.53,52.53
165.0,56.81,56.81
163.0,56.81,56.81
20.0,56.81,56.81
20.0,56.81,56.81
20.0,53.22,53.22
20.0,53.22,53.22
10.0,53.22,53.22
10.0,53.22,53.22
10.0,53.22,53.22
10.0,53.22,53.22
10.0,53.22,53.22
10.0,53.22,53.22
10.0,54.46,54.46
10.0,54.46,54.46
8.9,54.46,54.46
8.9,53.94,53.94
8.9,53.94,53.94
15.6,53.94,53.94
15.6,53.94,53.94
15.6,64.43,64.43
15.6,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,64.43,64.43
1.0,0.0,0.0
1.0,,
50.0,,
